Name,Parent Collection Name,URL
Pronville [57c.NE.1],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3924
[Courtrai] 29,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3928
[Beaucamp 57c.SE.2],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3931
[Givenchy 36c.SW.1],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3943
[Beaumont Hamel] 57d.SE. 1 & 2 (parts of),"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3947
Loos 36c.NW.3,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3951
[Miraumont 57d.NE],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3961
[Miraumont 57d.NE],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3965
Bethune [Battle of Neuve Chapelle],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3972
Meteren [27.SE.4],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3979
[Albert] 57d Secret,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3983
[Lens] 36c.SW,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3993
[Gouzeaucourt--Moislains] 57c.SE.2,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3996
"Chilly Sheets 62d.SE., 62c.SW., 66e.NE., & 66d.NW. (parts of)","Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4003
[Coln] 2L,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4019
"Montauban, Part Sheets 57d.SE, 57c.SW, 62d.NE & 62c.NW","Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4038
"[Battle of Cambrai and Canal du Nord, 1918] Parts of 51b.SE. & 57c.NE.","Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4045
[Fresnicourt] 36b.SE,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4046
"Wiancourt, Parts of 57c.SE, 57b.SW, 62c.NE and 62b.NW ","Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4074
Lievin [36c.SW.1],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4076
"Moeuvres [Bourlon] Special Sheet: Parts of 57c N.W., N.E., S.W. & S.E.","Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4078
[Lille] 36,"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4084
[Fonquevillers] 57d.NE.1&2 (parts of),"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4091
"Hattencourt 62d.SE., 62c.SW., 66e.NE., 66d.NW., 66e.SE. & 66d.SW. (parts of)","Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4103
Labis Fm [36a.NE.2],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4107
[Swartenbrouch 36a.NE],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4110
[Quessy] 66c.SW.3&4 and 70d.NW.1&2 [parts of],"Trench Maps, Western Front (Original Collection)",https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4113
