"pid","label","parent"
info:fedora/default:3,"62b.M9 [Blockhouse at Pontruet] December 23, 1917",info:fedora/macrepo:53
info:fedora/macrepo:10000,Bosanski-Novi,info:fedora/macrepo:21772
info:fedora/macrepo:10001,Banja Luka,info:fedora/macrepo:21772
info:fedora/macrepo:10014,Klaipeda,info:fedora/macrepo:18813
info:fedora/macrepo:10015,Tilsit,info:fedora/macrepo:18813
info:fedora/macrepo:10017,Labiau,info:fedora/macrepo:18813
info:fedora/macrepo:10018,Brod,info:fedora/macrepo:21772
info:fedora/macrepo:10019,Sremska Mitrovica,info:fedora/macrepo:21772
info:fedora/macrepo:10020,Beograd,info:fedora/macrepo:21772
info:fedora/macrepo:10021,Vršac,info:fedora/macrepo:21772
info:fedora/macrepo:10023,Lauenburg,info:fedora/macrepo:18813
info:fedora/macrepo:10024,Zara,info:fedora/macrepo:21772
info:fedora/macrepo:10025,Split,info:fedora/macrepo:21772
info:fedora/macrepo:10026,Travnik,info:fedora/macrepo:21772
info:fedora/macrepo:10027,Sarajevo,info:fedora/macrepo:21772
info:fedora/macrepo:10029,Višegrad,info:fedora/macrepo:21772
info:fedora/macrepo:10030,Kraljevo,info:fedora/macrepo:21772
info:fedora/macrepo:10031,Paraçin,info:fedora/macrepo:21772
info:fedora/macrepo:10032,Mostar,info:fedora/macrepo:21772
info:fedora/macrepo:10033,Dubrovnik,info:fedora/macrepo:21772
info:fedora/macrepo:10034,Pljevlja,info:fedora/macrepo:21772
info:fedora/macrepo:10035,Peć,info:fedora/macrepo:21772
info:fedora/macrepo:10036,Priština,info:fedora/macrepo:21772
info:fedora/macrepo:10037,Niš,info:fedora/macrepo:21772
info:fedora/macrepo:10038,Shkodër (Scutari),info:fedora/macrepo:21772
info:fedora/macrepo:10039,Prizren,info:fedora/macrepo:21772
info:fedora/macrepo:10040,Skoplje,info:fedora/macrepo:21772
info:fedora/macrepo:10042,Štip,info:fedora/macrepo:21772
info:fedora/macrepo:10043,Celovec,info:fedora/macrepo:9916
info:fedora/macrepo:10044,Velikovec,info:fedora/macrepo:9916
info:fedora/macrepo:10045,Slovenji Gradec,info:fedora/macrepo:9916
info:fedora/macrepo:10046,Maribor,info:fedora/macrepo:9916
info:fedora/macrepo:10047,Murska Sobata,info:fedora/macrepo:9916
info:fedora/macrepo:10048,D. Lendava,info:fedora/macrepo:9916
