macrepo,name,parent_collection,level,url
10,"Map Collections",1,1,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10
34,"World War I (1914-1918)",6,2,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A34
49,"Trench Maps, Western Front (Original Collection)",34,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A49
53,"Aerial Photographs",34,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A53
5946,"Ontario conservation reports",10,2,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A5946
8286,"France 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8286
8848,"Belgium & N.E. France 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8848
8850,"Holland 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8850
9425,"Denmark 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A9425
9650,"Romania 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A9650
9839,"Canadian Fire Insurance Plans",10,2,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A9839
9916,"Yugoslavia 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A9916
9921,"Europe, Central 1:250k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A9921
10011,"Poland 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10011
18802,"Germany 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A18802
18807,"Europe, Central 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A18807
18809,"Middle Danube Topographic Maps",18807,5,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A18809
18811,"Germany Topographic Maps",18807,5,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A18811
18813,"Poland Topographic Maps",18807,5,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A18813
18815,"Central Europe Topographic Maps",18807,5,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A18815
18976,"Holland East 1:25k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A18976
19714,"Norway 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A19714
19788,"Africa 1:2mil Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A19788
19790,"Bulgaria 1:250k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A19790
19792,"Turkey 1:500k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A19792
19795,"Europe, North West 1:250k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A19795
20447,"Spain Gibraltar 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A20447
20449,"Greece 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A20449
20451,"Iberian Peninsula 1:250k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A20451
21508,"Rare Map Collection (1486-1900)",10,2,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A21508
21772,"Yugoslavia 1:250K Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A21772
21809,"Romania 1:250k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A21809
22616,"Greece 1:250k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A22616
26857,"Central Europe Topographic Maps",9921,5,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A26857
26860,"Germany Topographic Maps",9921,5,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A26860
30937,"Italy Switzerland 1:100k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A30937
32223,"WWII Topographic Maps",66649,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A32223
32227,"Denmark 1:250k Topographic Maps",32223,4,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A32227
33182,"Burlington Beach, Ont. 1900",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A33182
33184,"Hamilton, Ont. 1898",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A33184
33186,"Hamilton, Ont. 1911",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A33186
45509,"Beamsville, Ont. 1921",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45509
45511,"Callander, Ont. 1916",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45511
45513,"Inkerman, Ont. 1889",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45513
45514,"Manilla, Ont. 1885",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45514
45516,"Neustadt, Ont. 1896",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45516
45519,"North Augusta, Ont. 1905",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45519
45521,"Norwood, Ont. 1900",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45521
45523,"Orangeville, Ont. 1907",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45523
45525,"Paisley, Ont. 1904",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45525
45526,"Palmerston, Ont. 1914",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45526
45527,"Rockwood, Ont. 1904",9839,3,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A45527
