macrepo,name,parent_collection,url
10000,Bosanski-Novi,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10000
10001,Banja Luka,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10001
10014,Klaipeda,18813,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10014
10015,Tilsit,18813,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10015
10017,Labiau,18813,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10017
10018,Brod,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10018
10019,Sremska Mitrovica,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10019
10020,Beograd,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10020
10021,Vršac,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10021
10023,Lauenburg,18813,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10023
10024,Zara,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10024
10025,Split,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10025
10026,Travnik,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10026
10027,Sarajevo,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10027
10029,Višegrad,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10029
10030,Kraljevo,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10030
10031,Paraçin,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10031
10032,Mostar,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10032
10033,Dubrovnik,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10033
10034,Pljevlja,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10034
10035,Peć,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10035
10036,Priština,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10036
10037,Niš,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10037
10038,Shkodër (Scutari),21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10038
10039,Prizren,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10039
10040,Skoplje,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10040
10042,Štip,21772,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10042
10043,Celovec,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10043
10044,Velikovec,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10044
10045,Slovenji Gradec,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10045
10046,Maribor,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10046
10047,Murska Sobata,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10047
10048,D. Lendava,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10048
10049,Simeg,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10049
10050,Kethelj,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10050
10051,Siofok,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10051
10053,Sarbogard,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10053
10054,Kaloca,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10054
10055,Keckemet,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10055
10056,Congrad,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10056
10057,Sarva,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10057
10058,Bled,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10058
10059,Ljubljana,9916,https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A10059
