filename_in,filename_out
84412.tiff,UofA_WW2_Italy_50k_001A_II.tif
84413.tiff,UofA_WW2_Italy_50k_001A_III.tif
84414.tiff,UofA_WW2_Italy_50k_001_II.tif
84415.tiff,UofA_WW2_Italy_50k_001_III.tif
84416.tiff,UofA_WW2_Italy_50k_002_II.tif
84417.tiff,UofA_WW2_Italy_50k_003_I.tif
84418.tiff,UofA_WW2_Italy_50k_003_II.tif
84419.tiff,UofA_WW2_Italy_50k_003_III.tif
84420.tiff,UofA_WW2_Italy_50k_003_IV.tif
84421.tiff,UofA_WW2_Italy_50k_004A_I.tif
84422.tiff,UofA_WW2_Italy_50k_004A_II.tif
84423.tiff,UofA_WW2_Italy_50k_004A_III.tif
84428.tiff,UofA_WW2_Italy_50k_004A_IV.tif
84429.tiff,UofA_WW2_Italy_50k_004B_I.tif
84430.tiff,UofA_WW2_Italy_50k_004B_II.tif
84431.tiff,UofA_WW2_Italy_50k_004B_III.tif
84436.tiff,UofA_WW2_Italy_50k_006_II.tif
84437.tiff,UofA_WW2_Italy_50k_007_III.tif
84438.tiff,UofA_WW2_Italy_50k_008_I.tif
84439.tiff,UofA_WW2_Italy_50k_008_II.tif
84440.tiff,UofA_WW2_Italy_50k_267_IV.tif
84441.tiff,UofA_WW2_Italy_50k_268_I.tif
84442.tiff,UofA_WW2_Italy_50k_268_II.tif
84443.tiff,UofA_WW2_Italy_50k_268_III.tif
84444.tiff,UofA_WW2_Italy_50k_266_IV.tif
84445.tiff,UofA_WW2_Italy_50k_267_I.tif
84446.tiff,UofA_WW2_Italy_50k_267_II.tif
84447.tiff,UofA_WW2_Italy_50k_267_III.tif
84449.tiff,UofA_WW2_Italy_50k_004B_IV.tif
84450.tiff,UofA_WW2_Italy_50k_004C_III.tif
84451.tiff,UofA_WW2_Italy_50k_004_I.tif
84452.tiff,UofA_WW2_Italy_50k_004_II.tif
84453.tiff,UofA_WW2_Italy_50k_004_III.tif
84454.tiff,UofA_WW2_Italy_50k_004_IV.tif
84455.tiff,UofA_WW2_Italy_50k_005_II.tif
84456.tiff,UofA_WW2_Italy_50k_006_I.tif
84457.tiff,UofA_WW2_Italy_50k_008_III.tif
84458.tiff,UofA_WW2_Italy_50k_008_IV.tif
84459.tiff,UofA_WW2_Italy_50k_009_I.tif
84460.tiff,UofA_WW2_Italy_50k_009_II.tif
84465.tiff,UofA_WW2_Italy_50k_009_III.tif
84466.tiff,UofA_WW2_Italy_50k_009_IV.tif
84467.tiff,UofA_WW2_Italy_50k_010_I.tif
84468.tiff,UofA_WW2_Italy_50k_010_II.tif
84469.tiff,UofA_WW2_Italy_50k_010_III.tif
84470.tiff,UofA_WW2_Italy_50k_010_IV.tif
84471.tiff,UofA_WW2_Italy_50k_011_I.tif
84472.tiff,UofA_WW2_Italy_50k_011_II.tif
84473.tiff,UofA_WW2_Italy_50k_012_IV.tif
84474.tiff,UofA_WW2_Italy_50k_013_I.tif
84475.tiff,UofA_WW2_Italy_50k_013_II.tif
84476.tiff,UofA_WW2_Italy_50k_013_III.tif
84477.tiff,UofA_WW2_Italy_50k_014A_IV.tif
84478.tiff,UofA_WW2_Italy_50k_014_I.tif
84479.tiff,UofA_WW2_Italy_50k_014_II.tif
84480.tiff,UofA_WW2_Italy_50k_014_III.tif
84482.tiff,UofA_WW2_Italy_50k_011_III.tif
84483.tiff,UofA_WW2_Italy_50k_011_IV.tif
84484.tiff,UofA_WW2_Italy_50k_012_I.tif
84485.tiff,UofA_WW2_Italy_50k_012_II.tif
84486.tiff,UofA_WW2_Italy_50k_015_IV.tif
84487.tiff,UofA_WW2_Italy_50k_016_II.tif
84488.tiff,UofA_WW2_Italy_50k_016_III.tif
84489.tiff,UofA_WW2_Italy_50k_016_IV.tif
84490.tiff,UofA_WW2_Italy_50k_013_IV.tif
84491.tiff,UofA_WW2_Italy_50k_014A_I.tif
84492.tiff,UofA_WW2_Italy_50k_014A_II.tif
84493.tiff,UofA_WW2_Italy_50k_014A_III.tif
84494.tiff,UofA_WW2_Italy_50k_018_II.tif
84495.tiff,UofA_WW2_Italy_50k_018_III.tif
84496.tiff,UofA_WW2_Italy_50k_018_IV.tif
84497.tiff,UofA_WW2_Italy_50k_018_I_and_7_II.tif
84498.tiff,UofA_WW2_Italy_50k_014_IV.tif
84499.tiff,UofA_WW2_Italy_50k_015_I.tif
84500.tiff,UofA_WW2_Italy_50k_015_II.tif
84501.tiff,UofA_WW2_Italy_50k_015_III.tif
84502.tiff,UofA_WW2_Italy_50k_020_III.tif
84503.tiff,UofA_WW2_Italy_50k_020_IV.tif
84504.tiff,UofA_WW2_Italy_50k_022_I.tif
84505.tiff,UofA_WW2_Italy_50k_022_II.tif
84506.tiff,UofA_WW2_Italy_50k_023_III.tif
84507.tiff,UofA_WW2_Italy_50k_023_IV.tif
84508.tiff,UofA_WW2_Italy_50k_024_II.tif
84509.tiff,UofA_WW2_Italy_50k_024_III.tif
84510.tiff,UofA_WW2_Italy_50k_017_I.tif
84511.tiff,UofA_WW2_Italy_50k_017_II.tif
84512.tiff,UofA_WW2_Italy_50k_017_III.tif
84513.tiff,UofA_WW2_Italy_50k_017_IV.tif
84514.tiff,UofA_WW2_Italy_50k_019_I.tif
84515.tiff,UofA_WW2_Italy_50k_019_II.tif
84516.tiff,UofA_WW2_Italy_50k_019_III.tif
84517.tiff,UofA_WW2_Italy_50k_019_IV.tif
84518.tiff,UofA_WW2_Italy_50k_022_III.tif
84519.tiff,UofA_WW2_Italy_50k_022_IV.tif
84520.tiff,UofA_WW2_Italy_50k_023_I.tif
84521.tiff,UofA_WW2_Italy_50k_023_II.tif
84522.tiff,UofA_WW2_Italy_50k_026_I.tif
84523.tiff,UofA_WW2_Italy_50k_026_III.tif
84524.tiff,UofA_WW2_Italy_50k_026_IV.tif
84525.tiff,UofA_WW2_Italy_50k_028_I.tif
84526.tiff,UofA_WW2_Italy_50k_024_IV.tif
84527.tiff,UofA_WW2_Italy_50k_025_II.tif
84528.tiff,UofA_WW2_Italy_50k_025_III.tif
84529.tiff,UofA_WW2_Italy_50k_025_IV.tif
84530.tiff,UofA_WW2_Italy_50k_031_IV.tif
84532.tiff,UofA_WW2_Italy_50k_032_III.tif
84533.tiff,UofA_WW2_Italy_50k_032_IV.tif
84534.tiff,UofA_WW2_Italy_50k_028_II.tif
84535.tiff,UofA_WW2_Italy_50k_029_I.tif
84538.tiff,UofA_WW2_Italy_50k_029_IV.tif
84539.tiff,UofA_WW2_Italy_50k_030_I.tif
84540.tiff,UofA_WW2_Italy_50k_030_II.tif
84541.tiff,UofA_WW2_Italy_50k_030_III.tif
84542.tiff,UofA_WW2_Italy_50k_032_II.tif
84544.tiff,UofA_WW2_Italy_50k_030_IV.tif
84545.tiff,UofA_WW2_Italy_50k_031_I.tif
84546.tiff,UofA_WW2_Italy_50k_031_II.tif
84547.tiff,UofA_WW2_Italy_50k_031_III.tif
84548.tiff,UofA_WW2_Italy_50k_034_I.tif
84549.tiff,UofA_WW2_Italy_50k_034_III.tif
84550.tiff,UofA_WW2_Italy_50k_034_IV.tif
84551.tiff,UofA_WW2_Italy_50k_036_III.tif
84552.tiff,UofA_WW2_Italy_50k_029_II.tif
84553.tiff,UofA_WW2_Italy_50k_029_III.tif
84554.tiff,UofA_WW2_Italy_50k_038_I.tif
84555.tiff,UofA_WW2_Italy_50k_038_II.tif
84556.tiff,UofA_WW2_Italy_50k_038_III.tif
84557.tiff,UofA_WW2_Italy_50k_038_IV.tif
84558.tiff,UofA_WW2_Italy_50k_040A_II.tif
84559.tiff,UofA_WW2_Italy_50k_040A_III.tif
84560.tiff,UofA_WW2_Italy_50k_040A_IV_amer.tif
84561.tiff,UofA_WW2_Italy_50k_040A_IV_ita.tif
84562.tiff,UofA_WW2_Italy_50k_033_I.tif
84563.tiff,UofA_WW2_Italy_50k_033_II.tif
