macrepo	typeOfResource_Text	note_Text	identifier_Text	Attributes_xmlns	Attributes_xmlns_colon_mods	Attributes_xmlns_colon_xlink	Attributes_xmlns_colon_xsi	titleInfo_title_Text	originInfo_dateCreated_Text	originInfo_dateOther_Text	language_languageTerm_Text	physicalDescription_form_Text	physicalDescription_extent_Text	physicalDescription_note_Text	subject_geographic_Text	identifier_Attributes_type	subject_geographic_2_Text	originInfo_place_placeTerm_Text	language_languageTerm_Attributes_authority	language_languageTerm_Attributes_type	physicalDescription_form_Attributes_authority	subject_hierarchicalGeographic_continent_Text	subject_hierarchicalGeographic_country_Text	subject_hierarchicalGeographic_province_Text	subject_hierarchicalGeographic_region_Text	subject_hierarchicalGeographic_county_Text	subject_hierarchicalGeographic_city_Text	subject_hierarchicalGeographic_citySection_Text	subject_hierarchicalGeographic_area_Text	originInfo_place_placeTerm_Attributes_type	name_namePart_Text	name_Attributes_type	originInfo_publisher_Text	originInfo_place_2_placeTerm_Text	originInfo_place_placeTerm_Attributes_authority	originInfo_place_2_placeTerm_Attributes_type	titleInfo_subTitle_Text	name_role_roleTerm_Text	name_role_roleTerm_Attributes_authority	name_role_roleTerm_Attributes_type	genre_Text	abstract_Text	genre_Attributes_authority	subject_topic_Text	subject_temporal_Text	subject_cartographics_coordinates_Text		subject_geographic_3_Text			name_2_namePart_Text	name_2_Attributes_type	name_2_role_roleTerm_Text	name_2_role_roleTerm_Attributes_authority	name_2_role_roleTerm_Attributes_type						language_Text		originInfo_place_Text	language_2_languageTerm_Text	originInfo_place_2_Text	language_2_languageTerm_Attributes_authority	language_2_languageTerm_Attributes_type	originInfo_place_3_placeTerm_Text	originInfo_place_3_placeTerm_Attributes_type						originInfo_place_4_placeTerm_Text	originInfo_place_3_placeTerm_Attributes_authority	originInfo_place_4_placeTerm_Attributes_type	citation	thumbnail_link	archive_link
50502	cartographic	"Scale five chains to an inch.  Map boundaries are King William Street to the north, James Street to the west, Catherine Street to the east and Hannah Street (now Charlton Avenue) to the south.   In bottom right corner, ""No 2"". On lower left corner, ""Drawer 4 No 1"" (number 1 appears to be added over a number 2)."	RMC_7453	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Hamilton	1800	[1800?]	eng	map	"[1:3,960]"	1 map : colour ; 74 x 53 cm. Map lined with archival paper on verso. Hand coloured. There is a large stain on upper right side of sheet and many tears around edges and across the middle of the sheet.	Hamilton (Ont.)	local	"Gore Park (Hamilton, Ont.)"	[Hamilton?]	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	Gore Park	"Lot 14, Concessions 2 & 3"	text	[Author unknown]		[Publisher unknown]																																													"[Author unknown]. Hamilton. [1:3,960]. [Hamilton?]: [Publisher unknown], [1800?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50502/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50502
50503	cartographic	"Scale 60 Feet = 1 inch.  In top left corner of the map, there is a certification statement signed and dated by ""Charles H. Wallace, P.L.S. [Public Land Surveyor], Hamilton, 20th April A.D. 1892.""  In the bottom left corner of the map there is a signed statement of approval by the property owner, W. E. Sanford.  Other writing on the map includes the words ""County 5"" along the left edge of the sheet. The map is marked with a ""24"" in the lower left corner. On the outer left edge of the Key Plan, there is a written note which reads, ""Received from W.E. Sanford and filed this fifth day of July A.D. 1892 at 3:25 O'clock PM [illegible signature] Registrar."" Another written note appears on the bottom of the map in red pen, reading ""Withdrawn by Order of...[illegible name and signature].""  Boundaries are King Street to the north, Main Street to the south, Sydenham Avenue to the west, and Palmerston Road to the east. In the middle of the map are Earnscliffe Avenue and Rosewood Avenue. The Key Plan inset in the upper right hand corner of the map delineates the geographical location of the survey, as the southeastern portion of Lot 7, Concession 2 in Barton Township.  According to the records of other historical maps, it appears as though this survey was not realized as planned. In Charles Goad's 1911 Insurance Plan of the City of Hamilton, Ontario, part of the lot is shown to be developing as a subdivision with road names different from those shown in the map. As street names, only King Street and Main Street continue to remain in existence today. Palmerston Road was changed to Trolley Street and later became Gage Avenue. Earnscliffe, Rosewood and Syndenham Avenues were all changed but the exact corresponding street names are unknown."	RMC_7460	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"Plan of subdivision of part of lot 7, Concession 2, Barton-Tp., the property of Hon. W.E. Sanford"	1892-04-20	1892	eng	map	[1:720]	"1 map : 72 x 52 cm., on sheet 76 x 56 cm. There are numerous tears along the edges of the map and evidence of tape having been adhered to portions of the left edge. The map has been lined with archival paper on the verso."	Hamilton (Ont.)	local	Barton (Ont.)	"[Hamilton, Ont.]"	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	Stipley neighbourhood	"Lot 7, Concession 2"	text	"Wallace, Charles H."	personal	[Publisher unknown]																																													"Wallace, Charles H.. Plan of subdivision of part of lot 7, Concession 2, Barton-Tp., the property of Hon. W.E. Sanford. [1:720]. [Hamilton, Ont.]: [Publisher unknown], 1892."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50503/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50503
55460	cartographic	"The written title of the map is ""Plan of Lot No 1 in the Broken Front & Part of Lot No 17 on 2nd Conn, Township of Barton, The Property of Allan MacNab, Esqr."" On the right side of the map is written ""No 3, Drawer 5"", indicating this is the fifth drawing of map number three (of a series).  Under the title of map, it reads ""Surveyed by Hugh Black Sept 12th 1833."" Bottom right hand corner is lacking part of the map, causing omission in handwritten information, it reads: ""A Copy by Allan...D. Pe...Aug. 2nd 18...."". There are additional residential lots, handwritten in red, found at the corner of Concession and ""Road Granted by Mr. McNab"".  Scale: ""2 Chs. to one Inch"" found handwritten in bottom left hand corner. The map is oriented so that south is up and north is down, as indicated by the directional arrow near the centre and Burlington Bay at the bottom of the map.  The boundaries on the map are: York Street to the south, Burlington Bay to the north, ""Road Granted by Mr. MacNab"" (now Locke Street) to the west, and ""Original Road Allowance"" (now Queen Street) to the the east. Concession 2 (now Barton Street) runs east to west in the middle of map. The map location is just east of Inchbury Street and east of the estate property of Sir Allan MacNab. In Winearls' Mapping Upper Canada 1780-1867, entry 1436, p.317, there is an entry of a plan ""purporting to be a true copy of a survey made by Hugh Black D.P.S. in September 12th 1833 to which is added the red lines exhibiting the proposed site of the Great Western Rail Road..."" This indicates that a subsequent copy of this map was made with additions."	RMC_7499	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"Plan of lot no. 1 in the broken front & part of lot no. 17 in 2nd conn, Township of Barton, the property of Allan MacNab Esqr."	1833-09-12	1833	eng	map	"[1:1,580]"	"1 map : col. ; 58 x 40 cm.   Three corners of the sheet, particularly the upper right corner, are lacking.  Tears appear along the right and lower edges.  There is also a tear extending down the sheet, near the left edge, where pieces of the sheet are lacking.  Map lined with archival paper on verso."	Hamilton (Ont.)	local		[Canada]	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	Strathcona neighbourhood	"Lot 17, Concession 2"	code	"Black, Hugh, 1792-1854"	personal	[Publisher unknown]	[Hamilton]	marccountry	text																																										"Black, Hugh, 1792-1854. Plan of lot no. 1 in the broken front & part of lot no. 17 in 2nd conn, Township of Barton, the property of Allan MacNab Esqr.. [1:1,580]. [Canada]: [Publisher unknown], 1833."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A55460/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A55460
58113	cartographic	"Under the title it reads, ""Advertised to be sold by public auction, on the ground on Monday 23, June 1856 at noon by the proprietor, J. Richard Thomson Esquire, Thos. A. Blyth, P.L.S., Hamilton; H. Gregory Lith. Hamilton, J.T. Nottle, Agent.""  In top right hand corner, the words ""Book 1, part of Plan 10, south of King"" are found handwritten. All street names found on the map are in existence today, in the locations shown, with the exception of Peel Street (now Hunter Street) and Duke Street (now Stinson Street).  The boundaries on this map are: Wellington Street to the west, Emerald Street to the east, King Street to the north, and Duke Street (Stinson Street) to the south. A number of lots on the map are coloured and shaded.  Described in Winearls, Mapping Upper Canada 1780-1867, entry 1142, p. 318."	RMC_7454	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Plan of building lots in the City of Hamilton	1856	[1856?]	eng	map	[1:1200]	"1 map : col. ; 52 x 46 cm., on sheet 54 x 49 cm. Map lined with archival paper on verso. The top left corner of the map is lacking, making part of title illegible. The edges of the map have minor fraying. Colour and shading on the map itself are still fully visible. Map scale: ""100 Feet to the Inch."""	Hamilton (Ont.)	local		Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	South of King	"Lot 12, Concessions 2 & 3"	code	"Blyth, Thomas Allen"	personal	H. Gregory Lith.	Hamilton	marccountry	text																																										"Blyth, Thomas Allen. Plan of building lots in the City of Hamilton. [1:1200]. Canada: H. Gregory Lith., [1856?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58113/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58113
58134	cartographic	"Sheet 1 of 2. Scale: ""50 Feet=to one Inch"". The number ""51"" is written in the top, left corner and in the top, right corner, it reads, ""No 44 Drawer No 2."" The map covers a downtown block, highlighting the dwelling of the late P.H. Hamilton. In the map are MacNab Street South to the east, Bond Street (now Park Street South) to the west, Duke Street to the south, and Bold and Charles Streets to the north."	RMC_7459	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"Plan of survey of the block lying between Bold, Duke, MacNab, and Bond Streets"	1866-06-18	1866	eng	map	[1:600]	"1 map ; 33 x 42 cm.  The bottom, left corner of the map is lacking, making the scale statement somewhat illegible. It is uncertain, but scale is likely 50 feet to 1 inch.  Map lined with archival paper on verso."	Hamilton (Ont.)	local		Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	Durand neighbourhood	"Lot 15, Concession 3"	code	"Blyth, Thomas Allen"	personal	[Publisher unknown]	Hamilton	marccountry	text	the residence of the late P.H. Hamilton Esqr.	Land surveyor	marcrelator	text																																						"Blyth, Thomas Allen. Plan of survey of the block lying between Bold, Duke, MacNab, and Bond Streets. [1:600]. Canada: [Publisher unknown], 1866."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58134/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58134
58230	cartographic	"Below the title is a handwritten signature, ""Dr. Billings & Joseph Lister, Esq."" On left side of the map appears handwritten note, ""Billings & Lister No 48, Drawer No 2"".  Some handwriting is evident on the verso of the map which is difficult to fully decipher. The map has a north arrow penciled in, it is aligned so east is on top and west is on the bottom. Streets included are: Barton Street, Wentworth Street and Williams Street. Williams Street is now ""William Street"" on current maps of the City of Hamilton. On the northern boundary of the map is a portion of the Great Western Railway. Between the railway allowance and the lots is a small road labelled only as ""Street"". To the west of Williams Street is a small unnamed laneway shown on the map and present on current maps of the area. In later maps it appears as though this road eventually became Birge Street. Off William Street, the lots are subdivided and coloured in pink. Handwriting on these lots read: ""12 Houses 18 x 24""."	RMC_7497	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"Proposed survey of lots in Hamilton, the property of J. M. Williams"	1800	[between 1800 and 1890]	eng	map	[1:1200]	"1 map : col. ; 25 x 39 cm. Scale ""100 ft to an Inch."" There is tearing and ripping at the edges, particularly along the top of the map. Map lined with archival paper on verso."	Hamilton (Ont.)	local		[Canada]	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	Landsdale neighbourhood	"Lot 11, Concession 1"	code	[Author unknown]		[Publisher unknown]	[Hamilton]	marccountry	text																																										"[Author unknown]. Proposed survey of lots in Hamilton, the property of J. M. Williams. [1:1200]. [Canada]: [Publisher unknown], [between 1800 and 1890]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58230/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58230
58541	cartographic	"There is a number ""52"" in the bottom left hand corner. The north arrow is penciled in the bottom left hand corner, indicating the top of the map is east. Writing on the map details the footage of each lot and its geographic coordinates. The deed date and owner of each lot is also featured therein. The lots featured in this survey go from 8 to 12. Handwritten note on verso: ""Plan of Lots 8.9.10.11.12, Block 5, Compiled from Title Deeds, D. Kirkendall's Survey, 9th April 1857."" Lots are located at the corner of MacNab and Merrick Streets. Merrick Street has now been changed to York Boulevard. The site is now home to a public parking garage at the Hamilton City Centre. "	RMC_7498	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"Sketch of lots taken from title deeds, April 6th 1857."	1857-04-06	1857	eng	map	Scale not given.	1 map : col. ; 27 x 47 cm. Map lined with archival paper on verso. 	Hamilton (Ont.)	local		[Canada]	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	Central Hamilton	"Lot 15, Concession 2"	code	"Kirkendall, D."	personal	[Publisher unknown]	[Hamilton]	marccountry	text			marcrelator	text			lctgm																																			"Kirkendall, D.. Sketch of lots taken from title deeds, April 6th 1857.. Scale not given.. [Canada]: [Publisher unknown], 1857."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58541/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58541
58542	cartographic	"The scale is given under the title, listed as ""scale forty chains to one inch."" The map is numbered with a ""9"" in the top right corner. Handwriting on the right side of the map reads, ""Township of Saltfleet"" with ""Book 1"" above crossed out. The verso of the map reads ""49th Page Saltfleet.""The map shows the concessions, early lot lines, and rivers or streams in the area but does not show roads, buildings, typography, vegetation, or other map details. On the bottom of the map, it reads ""Crown Land Department, Montreal, November 1846, True Copy, C.R."" A faded signature is also featured on the bottom of the map reading ""D.B. Papineau, C.C.L. [Commissioner of Crown Lands]""."	RMC_7500	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Saltfleet	1846-11	1846	eng	map	"[1:31,680]"	1 map ; 55 x 59 cm. Map has been lined with archival paper on verso.	Hamilton (Ont.)	local	Saltfleet (Ont.)	Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Saltfleet Township	Wentworth County	Hamilton	Stoney Creek	Concessions BF-8	code	Ontario. Crown Lands Department	corporate	Crown Land Department	Montreal	marccountry	text												Stoney Creek (Ont.)																														"Ontario. Crown Lands Department. Saltfleet. [1:31,680]. Canada: Crown Land Department, 1846."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58542/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58542
58543	cartographic	"Scale 50 ft = 1 Inch.  On left edge of map it reads, ""No 57 Drawer 2"". The map is oriented so that the north arrow points to the bottom of the map and south is at the top. Streets listed are: Wentworth Street, Main Street, and Ida Street. Ida Street, which can be found as such on Hamilton maps between 1903 and 1910, is now known as Delaware Avenue."	RMC_7496	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Subdivision of lots 7 & 8 and east half of lot 6 in Michael Aikmans survey	1872-06-30	1872	eng	map	[1:600]	1 map ; 50 x 31 cm. Light hint of colour on roadways. Map lined with archival paper on verso.  Notes and numbers are scribbled throughout the map.	Hamilton (Ont.)	local		Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	St. Clair neighbourhood	"Lot 10, Concession 3"	code	"Blyth, Thomas Allen"	personal	[Publisher unknown]	"Hamilton, Ont."	marccountry	text																																										"Blyth, Thomas Allen. Subdivision of lots 7 & 8 and east half of lot 6 in Michael Aikmans survey. [1:600]. Canada: [Publisher unknown], 1872."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58543/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58543
61439	cartographic	"No scale listed. This map also does not list a title, legible author, surveyor, or date. On the right side of the map, atop an strip of paper, it reads ""No 33, Drawer 6.""  In the top left corner of the map the number ""33"" is written. The bottom right hand corner features a building labelled ""Foundry Mess - Fisher & Coy [Company]"".  There is no directional arrow on the map but it is oriented so that north is at the bottom and south is at the top. Near the bottom of the map is the ""Line of the Great Western Railway."" The subdivided lots between Emerald and Victoria have ""See No 88"" penciled in and the word ""Reserved"" written across five lots. A number of lots are coloured in green.   Boundaries are Barton Street to the south, South Street [now Birge Street] to the north, Emerald Street North to the east, and Wellington Street North to the west. The streets on the map running north-south are written in pencil and are faded yet legible. The larger lots on the western portion of the map are now the location of Hamilton General Hospital."	RMC_7457	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"[Map of Barton and South Streets, Hamilton, Ontario]"	1830	[between 1830 and 1893]	eng	map	No scale given	1 map : col. ; 32 x 39 cm. Map lined with archival paper on verso.	Hamilton (Ont.)	local		Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	Landsdale neighbourhood	"Lot 12, Concession 1"	code	[Author unknown]		[Publisher unknown]	Hamilton	marccountry	text																																										"[Author unknown]. [Map of Barton and South Streets, Hamilton, Ontario]. No scale given. Canada: [Publisher unknown], [between 1830 and 1893]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61439/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61439
