MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS,METRIC: PAGEVIEWS,"ITEM=1, COLLECTION=2",IDENTIFIER,PARENT DIRECTORY,TIMERANGE: From 365daysAgo to 20170328
34,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A34,'World War 1914-1918 Maps and Aerial Photographs | Digital Archive @ McMaster University Library',2055,7510,2,N/A,10
49,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A49,'Trench Maps Western Front (Original Collection) | Digital Archive @ McMaster University Library',851,2035,2,N/A,34
53,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A53,'Aerial Photographs | Digital Archive @ McMaster University Library',910,3136,2,N/A,34
3918,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3918,'[Arras] 51b.NW | Digital Archive @ McMaster University Library',9,18,1,013WW1MAP,74943
3919,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3919,'Situation Map 1: Railways & Ammuniton Dumps 1-10-18 | Digital Archive @ McMaster University Library',79,97,1,328WW1MAP,74936
3920,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3920,'[Walincourt] 57b.SW Enemy Organisation 21-09-18 | Digital Archive @ McMaster University Library',9,12,1,208WW1MAP,74939
3921,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3921,'[Chartres-Paris] 9 | Digital Archive @ McMaster University Library',16,17,1,429WW1MAP,70659
3922,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3922,'Kurija Dere (Koja Dere) | Digital Archive @ McMaster University Library',41,48,1,231WW1MAP,74929
3923,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3923,'Antwerp 3 | Digital Archive @ McMaster University Library',21,35,1,325WW1MAP,70212
3924,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3924,'Pronville [57c.NE.1] | Digital Archive @ McMaster University Library',13,15,1,168WW1MAP,49
3925,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3925,'[Corbie] 62d | Digital Archive @ McMaster University Library',20,25,1,393WW1MAP,74944
3926,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3926,'[Namur] 5 | Digital Archive @ McMaster University Library',11,19,1,316WW1MAP,70660
3927,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3927,'[Liege] 2 | Digital Archive @ McMaster University Library',28,56,1,421WW1MAP,70660
3928,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3928,'[Courtrai] 29 | Digital Archive @ McMaster University Library',7,9,1,441WW1MAP,49
3929,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3929,"'[Albert] 57d.SE """"B"""" Series | Digital Archive @ McMaster University Library'",36,150,1,102WW1MAP,75086
3930,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3930,'Third Army Weekly Trench Map (Sunday): Cherisy Parts of 51b.SW.2 and 4 | Digital Archive @ McMaster University Library',15,16,1,189WW1MAP,75202
3931,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3931,'[Beaucamp 57c.SE.2] | Digital Archive @ McMaster University Library',6,7,1,184WW1MAP,49
3932,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3932,'[Queant] 57c.NE Enemy Organisation 20-8-18 | Digital Archive @ McMaster University Library',11,15,1,040WW1MAP,74939
3933,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3933,'[Arras] 51b | Digital Archive @ McMaster University Library',17,30,1,047WW1MAP,74944
3934,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3934,'Sinai Peninsula Suez | Digital Archive @ McMaster University Library',22,33,1,266WW1MAP,74923
3935,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3935,'[Aire] 36a | Digital Archive @ McMaster University Library',18,20,1,373WW1MAP,74944
3936,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3936,'[St. Amand-les Eaux] 44: Enemy Organisation 15-10-18 | Digital Archive @ McMaster University Library',12,17,1,377WW1MAP,74939
3937,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3937,'Namur 8 | Digital Archive @ McMaster University Library',6,18,1,405WW1MAP,70212
3938,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3938,'[Valenciennes] 51a Enemy Rear Organisation 24-9-18 | Digital Archive @ McMaster University Library',8,11,1,214WW1MAP,74939
3939,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3939,'[Valenciennes] 51a | Digital Archive @ McMaster University Library',12,16,1,382WW1MAP,74944
3940,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3940,'[Armentieres] 36.NW | Digital Archive @ McMaster University Library',38,63,1,049WW1MAP,74943
3941,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3941,'[Ypres] 28 | Digital Archive @ McMaster University Library',40,65,1,322WW1MAP,74944
3942,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3942,'[Cambrai] 57b Enemy Rear Organisation 25-9-18 | Digital Archive @ McMaster University Library',16,23,1,174WW1MAP,74939
3943,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3943,'[Givenchy 36c.SW.1] | Digital Archive @ McMaster University Library',24,30,1,143WW1MAP,49
3944,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3944,'[Cagnicourt] 51b.SE | Digital Archive @ McMaster University Library',9,13,1,009WW1MAP,74943
3945,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3945,'Amiens 17 | Digital Archive @ McMaster University Library',76,108,1,414WW1MAP,70212
3946,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3946,'Loos 36c.NW.3 | Digital Archive @ McMaster University Library',7,8,1,135WW1MAP,74945
3947,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3947,'[Beaumont Hamel] 57d.SE. 1 & 2 (parts of) | Digital Archive @ McMaster University Library',45,63,1,116WW1MAP,49
3948,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3948,'[Albert] 57d.SE | Digital Archive @ McMaster University Library',29,39,1,007WW1MAP,74943
3949,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3949,'[Havrincourt] Parts of 57c[NE3 and SE1] | Digital Archive @ McMaster University Library',81,86,1,199WW1MAP,75083
3950,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3950,'Dieppe 16 | Digital Archive @ McMaster University Library',6,7,1,413WW1MAP,70212
3951,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3951,'Loos 36c.NW.3 | Digital Archive @ McMaster University Library',31,36,1,131WW1MAP,49
3952,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3952,'[Albert] 57d.SE | Digital Archive @ McMaster University Library',23,27,1,098WW1MAP,74943
3953,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3953,'Situation Map 5B: Railways & Ammunition Dumps 11-10-18 | Digital Archive @ McMaster University Library',40,48,1,449WW1MAP,74936
3954,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3954,'[Harbonnieres] 62d.SE | Digital Archive @ McMaster University Library',12,12,1,341WW1MAP,74943
3955,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3955,'[Gaza: Fusilier Samson and Hereford Ridges October 1917] | Digital Archive @ McMaster University Library',38,42,1,285WW1MAP,74928
3956,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3956,'Soissons 22 | Digital Archive @ McMaster University Library',33,54,1,138WW1MAP,70212
3957,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3957,'Bailleul Plan Directeur | Digital Archive @ McMaster University Library',45,50,1,257WW1MAP,74941
3958,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3958,'Roisel 62c.NE.4 | Digital Archive @ McMaster University Library',11,23,1,126WW1MAP,74945
3959,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3959,No Results Found',0,0,1,006WW1MAP,74943
3960,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3960,'Atawineh: Secret | Digital Archive @ McMaster University Library',28,39,1,261WW1MAP,74932
3961,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3961,'[Miraumont 57d.NE] | Digital Archive @ McMaster University Library',7,7,1,240WW1MAP,49
3962,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3962,'Amiens 17 | Digital Archive @ McMaster University Library',31,37,1,035WW1MAP,70212
3963,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3963,'[Coblentz] 6 | Digital Archive @ McMaster University Library',6,13,1,427WW1MAP,70659
3964,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3964,'Brussels 6 | Digital Archive @ McMaster University Library',22,29,1,402WW1MAP,70212
3965,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3965,'[Miraumont 57d.NE] | Digital Archive @ McMaster University Library',10,15,1,200WW1MAP,49
3966,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3966,'Gaza--Shellal: Secret | Digital Archive @ McMaster University Library',19,24,1,282WW1MAP,74931
3967,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3967,'Beauvais 21 | Digital Archive @ McMaster University Library',7,9,1,139WW1MAP,70212
3968,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3968,'[Amiens] 62e | Digital Archive @ McMaster University Library',27,44,1,394WW1MAP,74944
3969,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3969,'[Lens] 36c.SW | Digital Archive @ McMaster University Library',2,2,1,363WW1MAP,74943
3970,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3970,'[Arras] 51b Enemy Organizations 25-8-18 | Digital Archive @ McMaster University Library',49,52,1,062WW1MAP,74939
3971,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3971,'[Bertincourt] 57c.SE Enemy Organisation 21-8-18 | Digital Archive @ McMaster University Library',13,21,1,079WW1MAP,74939
3972,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3972,'Bethune [Battle of Neuve Chapelle] | Digital Archive @ McMaster University Library',46,52,1,212WW1MAP,49
3973,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3973,'Third Army Weekly Trench Map (Sunday): Cherisy Parts of 51b.SW.2 and 4 | Digital Archive @ McMaster University Library',16,19,1,154WW1MAP,75202
3974,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3974,'First Army Area: Distribution of German Forces 01-08-16 | Digital Archive @ McMaster University Library',35,45,1,145WW1MAP,74940
3975,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3975,'[Peronne] 62c | Digital Archive @ McMaster University Library',14,14,1,391WW1MAP,74944
3976,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3976,'[Albert] 57d | Digital Archive @ McMaster University Library',14,18,1,173WW1MAP,74944
3977,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3977,'Vimy 36c.SW.3 | Digital Archive @ McMaster University Library',35,43,1,109WW1MAP,74945
3978,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3978,'[Combles] 57c.SW | Digital Archive @ McMaster University Library',9,11,1,090WW1MAP,74943
3979,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3979,'Meteren [27.SE.4] | Digital Archive @ McMaster University Library',12,15,1,070WW1MAP,49
3980,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3980,'Fejja: Secret | Digital Archive @ McMaster University Library',21,32,1,260WW1MAP,74931
3981,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3981,'Arras 51b.NW.3 | Digital Archive @ McMaster University Library',18,21,1,119WW1MAP,74945
3982,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3982,'[Strasbourg] 12 | Digital Archive @ McMaster University Library',19,25,1,432WW1MAP,70659
3983,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3983,'[Albert] 57d Secret | Digital Archive @ McMaster University Library',34,40,1,022WW1MAP,49
3984,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3984,'[Cambrai] 57b.NW Enemy Organisation 29-8-18 | Digital Archive @ McMaster University Library',19,24,1,350WW1MAP,74939
3985,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3985,'[Dunkerque] 1A | Digital Archive @ McMaster University Library',11,16,1,425WW1MAP,70659
3986,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3986,'[Anzin] 44.SE Enemy Organisation 15-10-18 | Digital Archive @ McMaster University Library',12,14,1,366WW1MAP,74939
3987,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3987,'[Roulers] 20.SE | Digital Archive @ McMaster University Library',7,8,1,296WW1MAP,74943
3988,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3988,'[Peronne] 62c.NW | Digital Archive @ McMaster University Library',16,32,1,086WW1MAP,74943
3989,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3989,'Krithia | Digital Archive @ McMaster University Library',29,33,1,283WW1MAP,74929
3990,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3990,'[Valenciennes] 51a Enemy Rear Organisation 24-9-18 | Digital Archive @ McMaster University Library',20,28,1,041WW1MAP,74939
3991,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3991,'[Arras] 51b.NW | Digital Archive @ McMaster University Library',11,14,1,360WW1MAP,74943
3992,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3992,'[Ostende-Brussels-Lille] 1 | Digital Archive @ McMaster University Library',8,23,1,420WW1MAP,70660
3993,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3993,'[Lens] 36c.SW | Digital Archive @ McMaster University Library',10,21,1,042WW1MAP,49
3994,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3994,'[Walincourt] 57b.SW | Digital Archive @ McMaster University Library',11,12,1,089WW1MAP,74943
3995,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3995,'[Remigny] 66c.SW.1 | Digital Archive @ McMaster University Library',2,2,1,124WW1MAP,74945
3996,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3996,'[Gouzeaucourt--Moislains] 57c.SE.2 | Digital Archive @ McMaster University Library',12,15,1,147WW1MAP,49
3997,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3997,'[Zerkiyeh Crossing Birket Ramadan] | Digital Archive @ McMaster University Library',13,14,1,445WW1MAP,74928
3998,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3998,'Hostile Battery Positions 28-9-18 [51b.NE] | Digital Archive @ McMaster University Library',49,58,1,088WW1MAP,75209
3999,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3999,'Blaireville 51c.SE.4 | Digital Archive @ McMaster University Library',2,3,1,134WW1MAP,74945
4000,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4000,'Ramleh: Secret | Digital Archive @ McMaster University Library',25,49,1,290WW1MAP,74931
4001,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4001,'[Queant] 57c.NE | Digital Archive @ McMaster University Library',5,12,1,003WW1MAP,74943
4002,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4002,'Ismailia | Digital Archive @ McMaster University Library',17,21,1,234WW1MAP,74923
4003,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4003,'Chilly Sheets 62d.SE. 62c.SW. 66e.NE. & 66d.NW. (parts of) | Digital Archive @ McMaster University Library',22,24,1,338WW1MAP,49
4004,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4004,'Valenciennes 12 | Digital Archive @ McMaster University Library',48,54,1,408WW1MAP,70212
4005,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4005,'Longeuval 57c.SW.3 | Digital Archive @ McMaster University Library',12,13,1,115WW1MAP,74945
4006,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4006,'Situation Map 2A: Railways & Ammunition Dumps 11-10-18 | Digital Archive @ McMaster University Library',40,53,1,330WW1MAP,74936
4007,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4007,'Hazebrouck 5A | Digital Archive @ McMaster University Library',23,27,1,308WW1MAP,70212
4008,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4008,'Tilques Area: Areas and Training Facilities | Digital Archive @ McMaster University Library',25,49,1,222WW1MAP,74938
4009,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4009,'Western Front [March 20 1918] | Digital Archive @ McMaster University Library',32,34,1,031WW1MAP,75202
4010,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4010,'[Courtrai] 29 | Digital Archive @ McMaster University Library',10,14,1,321WW1MAP,74944
4011,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4011,'Lens Canal: Positions Map 19-1-18 | Digital Archive @ McMaster University Library',20,26,1,339WW1MAP,75209
4012,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4012,'[Aubers] 36.SW | Digital Archive @ McMaster University Library',16,21,1,066WW1MAP,74943
4013,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4013,'[Beaurains] 51b.SW | Digital Archive @ McMaster University Library',7,7,1,050WW1MAP,74943
4014,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4014,'Abbeville 11 | Digital Archive @ McMaster University Library',40,42,1,205WW1MAP,74941
4015,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4015,'[Beaufort] 51c | Digital Archive @ McMaster University Library',4,4,1,045WW1MAP,74944
4016,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4016,'Army Area Map No. 6 Secret | Digital Archive @ McMaster University Library',44,58,1,171WW1MAP,74938
4017,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4017,'[Namur] 5 | Digital Archive @ McMaster University Library',11,21,1,423WW1MAP,70660
4018,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4018,'Stellungskarte Nr. 7 Stand Vom 24.6.18 | Digital Archive @ McMaster University Library',102,124,1,256WW1MAP,74935
4019,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4019,'[Coln] 2L | Digital Archive @ McMaster University Library',15,28,1,419WW1MAP,49
4020,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4020,'Lens 11 | Digital Archive @ McMaster University Library',90,142,1,087WW1MAP,70212
