MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS,METRIC: PAGEVIEWS,"ITEM=1, COLLECTION=2",IDENTIFIER,PARENT DIRECTORY,TOP-LEVEL COLLECTION,TIMERANGE: From 365daysAgo to 20181025,,,,Collection,9839,81038,77266,71369,49596,66648,81271,81131,81117,82248,5946,81951,21508,70033,81142,77271,34,66649,81115,
,,,,,,,,,,,,,Sum of Item Pageviews,8539,442,91,25312,11739,887,60,797,304,231,173,385,17363,53,385,20,55029,65693,179,187682
34,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A34,'World War 1914-1918 Maps and Aerial Photographs | Digital Archive @ McMaster University Library',1849,6585,2,N/A,10,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A49,'Trench Maps Western Front (Original Collection) | Digital Archive @ McMaster University Library',845,2061,2,N/A,34,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061,0,0,
53,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A53,'Aerial Photographs | Digital Archive @ McMaster University Library',771,2171,2,N/A,34,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,0,0,
3918,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3918,'[Arras] 51b.NW | Digital Archive @ McMaster University Library',4,4,1,013WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
3919,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3919,'Situation Map 1: Railways & Ammuniton Dumps 1-10-18 | Digital Archive @ McMaster University Library',63,84,1,328WW1MAP,74936,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,
3920,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3920,'[Walincourt] 57b.SW Enemy Organisation 21-09-18 | Digital Archive @ McMaster University Library',8,8,1,208WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
3921,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3921,'[Chartres-Paris] 9 | Digital Archive @ McMaster University Library',15,16,1,429WW1MAP,70659,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
3922,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3922,'Kurija Dere (Koja Dere) | Digital Archive @ McMaster University Library',35,46,1,231WW1MAP,74929,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,
3923,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3923,'Antwerp 3 | Digital Archive @ McMaster University Library',15,20,1,325WW1MAP,70212,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,
3924,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3924,'Pronville [57c.NE.1] | Digital Archive @ McMaster University Library',17,25,1,168WW1MAP,49,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,
