identifier,crs
HTDP63360K030L13_1906,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L15_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L15_1917,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L15_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1906,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1920,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1925,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1942_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1942,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1918,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1921,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1931_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1942_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1942,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1949_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1918,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1942_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1942_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1940_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1917,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1936_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1943,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1943_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M15_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M15_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M15_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M16_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M16_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030N14_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030N14_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030N15_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B05_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B05_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
